stock_code,rcept_dt,timing,weekday,news,after_dummy,bad_dummy,bad_severity,fri_dummy,is_kosdaq,log_marcap,roa,debt_ratio,past_after_ratio,p_after_hat,CAR_m1_p1
057050,20251105,Intraday,2,Bad News,0,1,0.17896899019347998,0,0,27.66716016254442,0.0230698632125617,0.3246657790169908,0.9523809523809523,0.850389809271954,0.04853034370718246
058110,20210802,Intraday,0,Bad News,0,1,0.2487767842078623,0,1,24.45451915281152,0.0938641879035417,0.3512310073817299,0.0,0.2524110710276181,-0.055777457728789614
058110,20220429,Intraday,4,Bad News,0,1,0.860864682762493,1,1,24.45451915281152,-0.0326735062917969,0.2780519426466575,0.0,0.24300384117278728,-0.012599771150583
058430,20190424,Intraday,2,Bad News,0,1,0.9887640449438202,0,0,26.76637361720623,0.0051206343350831,1.2770999715060445,0.0,0.23039253644229996,-0.031262291510399234
058430,20190723,After-hours,1,Good News,1,0,0.0,0,0,26.76637361720623,0.0051206343350831,1.2770999715060445,0.0,0.15378585105322395,-0.00899996576060071
058430,20191024,After-hours,3,Good News,1,0,0.0,0,0,26.76637361720623,0.0051206343350831,1.2770999715060445,0.5,0.47288712788222786,0.019495412593124994
058430,20200424,Intraday,4,Bad News,0,1,0.39285714285714285,1,0,26.76637361720623,0.0146749541670099,1.1356128157124374,0.6666666666666666,0.7006231576420955,0.012670786463723951
058430,20201026,Intraday,0,Good News,0,0,0.0,0,0,26.76637361720623,0.0146749541670099,1.1356128157124374,0.5,0.47288712788222786,-0.06112695873260223
058430,20210422,Intraday,3,Good News,0,0,0.0,0,0,26.76637361720623,0.1682538944721853,0.8188364759022059,0.4,0.3946306126284176,0.48676956180900854
058430,20210712,Intraday,0,Good News,0,0,0.0,0,0,26.76637361720623,0.1682538944721853,0.8188364759022059,0.3333333333333333,0.3450711935304371,-0.0697795096343582
058430,20211013,Intraday,2,Good News,0,0,0.0,0,0,26.76637361720623,0.1682538944721853,0.8188364759022059,0.2857142857142857,0.31155961770907964,0.15562134419793738
058430,20220422,Intraday,4,Bad News,0,1,0.5134168157423972,1,0,26.76637361720623,0.0413488230128824,0.6158879043433113,0.25,0.38270567745109296,-0.017658353780864507
