corp_code,year,status,message,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,stock_code,corp_name,market,debt_ratio,roa,operating_margin,log_assets
01316254,2020,000,정상,2376593774635.0,1995482965355.0,381110809280.0,2394622898921.0,34208423167.0,6810288508.0,298050,HS효성첨단소재,KOSPI,5.235965280346928,0.002865566922157714,0.014285515762174525,28.49668939135727
01316254,2021,000,정상,2908681837826.0,2187093121980.0,721588715846.0,3597777100369.0,437309926236.0,330023237559.0,298050,HS효성첨단소재,KOSPI,3.030941412956858,0.11346144266011066,0.12155003326669349,28.698721117794918
01316254,2022,000,정상,2934713477994.0,2135155968289.0,799557509705.0,3841372825700.0,315070313327.0,160238371318.0,298050,HS효성첨단소재,KOSPI,2.6704220051372847,0.05460102750048692,0.08202023797822484,28.707630941953955
01316254,2023,000,정상,3034402591578.0,2284308007971.0,750094583607.0,3202331179495.0,172374384077.0,47255354037.0,298050,HS효성첨단소재,KOSPI,3.0453599557890243,0.015573198549249028,0.05382778182991774,28.74103568138678
01316254,2024,000,정상,3820765107830.0,2663425624831.0,1157339482999.0,3311227813004.0,219722228984.0,78182591757.0,298050,HS효성첨단소재,KOSPI,2.301334797573221,0.02046254861278393,0.06635672366639866,28.97147180849952
01316254,2025,000,정상,3903414776514.0,3076912544278.0,826502232236.0,3283044948859.0,157433130038.0,15653332610.0,298050,HS효성첨단소재,KOSPI,3.7228121404509604,0.004010163794066341,0.0479533885433749,28.99287286968587
00547583,2019,013,조회된 데이타가 없습니다.,,,,,,,086790,하나금융지주,KOSPI,,,,
00547583,2020,013,조회된 데이타가 없습니다.,,,,,,,086790,하나금융지주,KOSPI,,,,
00547583,2021,013,조회된 데이타가 없습니다.,,,,,,,086790,하나금융지주,KOSPI,,,,
00547583,2022,013,조회된 데이타가 없습니다.,,,,,,,086790,하나금융지주,KOSPI,,,,
00547583,2023,000,정상,591925995000000.0,551744278000000.0,40181717000000.0,,4693407000000.0,3468356000000.0,086790,하나금융지주,KOSPI,13.731227015510562,0.005859441939190388,,34.0144027345524
00547583,2024,000,정상,637847513000000.0,594270586000000.0,43576927000000.0,,4855182000000.0,3768529000000.0,086790,하나금융지주,KOSPI,13.637276120916006,0.005908197371932059,,34.08912036286942
00547583,2025,000,정상,674590676000000.0,628945122000000.0,45645554000000.0,,5350898000000.0,4036638000000.0,086790,하나금융지주,KOSPI,13.77889119277641,0.005983833076281653,,34.145127216936714
