stock_code,corp_code,corp_name,induty_code,sector
035080,00244561,그래디언트,479,Consumer
035250,00255619,강원랜드,91249,Services
097950,00635134,CJ제일제당,108,Consumer
253450,01168684,스튜디오드래곤,59114,Services
020560,00138792,아시아나항공,511,Machinery/Transportation
042040,00206686,케이피엠테크,467,Consumer
086670,00524786,비엠티,29133,Machinery/Transportation
067160,00399694,SOOP,582,IT/Electronics
018880,00161125,한온시스템,29172,Machinery/Transportation
216050,00819073,인크로스,71310,Services
035720,00258801,카카오,63120,IT/Electronics
263750,01152470,펄어비스,58211,IT/Electronics
181710,00983271,NHN,5821,IT/Electronics
123890,00404701,한국자산신탁,642,Finance
104200,00645089,NHN벅스,639,IT/Electronics
121800,00693651,비덴트,26421,IT/Electronics
092040,00545734,아미코젠,108,Consumer
161890,00939331,한국콜마,20423,Chemicals/Materials
072990,00527464,에이치시티,72911,Biotech/Healthcare
058850,00372882,KTcs,63991,IT/Electronics
000150,00117212,두산,26221,IT/Electronics
047810,00309503,한국항공우주,31311,Machinery/Transportation
060250,00357740,NHN KCP,661,Finance
126560,00403632,현대퓨처넷,61299,IT/Electronics
092600,00537337,앤씨앤,2611,IT/Electronics
034020,00159616,두산에너빌리티,29119,Machinery/Transportation
251270,00904672,넷마블,5821,IT/Electronics
161390,00937324,한국타이어앤테크놀로지,221,Chemicals/Materials
009450,00101488,경동나비엔,28520,Machinery/Transportation
002960,00158149,한국쉘석유,19221,Energy
032620,00220057,GC메디아이,58221,IT/Electronics
011790,00139889,SKC,204,Chemicals/Materials
101730,00643656,위메이드맥스,5821,IT/Electronics
112040,00444329,위메이드,5821,IT/Electronics
095660,00628860,네오위즈,5821,IT/Electronics
142280,00513948,녹십자엠에스,213,Biotech/Healthcare
002390,00161046,한독,212,Biotech/Healthcare
071840,00158307,롯데하이마트,47320,Consumer
012630,00164636,HDC,649,Finance
091700,00490151,파트론,2629,IT/Electronics
122900,00360142,아이마켓코리아,46800,Consumer
194370,00332927,제이에스코퍼레이션,15121,Consumer
043610,00223762,KT지니뮤직,603,Services
282330,01263022,BGF리테일,47122,Consumer
041440,00228536,현대에버다임,29241,Machinery/Transportation
000700,00163691,유수홀딩스,715,Services
027410,00219097,BGF,64992,Finance
020000,00188089,한섬,14112,Consumer
058860,00372873,KTis,63991,IT/Electronics
138930,00858364,BNK금융지주,64992,Finance
011170,00165413,롯데케미칼,20111,Chemicals/Materials
079160,00303873,CJ CGV,59141,Services
241560,01032486,두산밥캣,29241,Machinery/Transportation
006280,00129679,녹십자,212,Biotech/Healthcare
055550,00382199,신한지주,64992,Finance
030200,00190321,케이티,612,IT/Electronics
017960,00159795,한국카본,2512,Machinery/Transportation
065450,00385363,빅텍,27211,IT/Electronics
089590,00555874,제주항공,511,Machinery/Transportation
048530,00292434,인트론바이오,211,Biotech/Healthcare
004150,00171636,한솔홀딩스,64992,Finance
183300,00997812,코미코,29271,Machinery/Transportation
036570,00261443,NC,582,IT/Electronics
192080,01010110,더블유게임즈,5821,IT/Electronics
144510,01010642,지씨셀,73909,Services
286940,01262032,롯데이노베이트,62021,IT/Electronics
213500,01060744,한솔제지,171,Chemicals/Materials
052460,00405719,아이크래프트,620,IT/Electronics
006220,00148832,제주은행,64121,Finance
138080,00571483,오이솔루션,26410,IT/Electronics
037560,00222532,LG헬로비전,60222,Services
052260,00347062,현대바이오랜드,204,Chemicals/Materials
051500,00127954,CJ프레시웨이,4632,Consumer
079430,00300548,현대리바트,32029,IT/Electronics
010060,00148896,OCI홀딩스,64992,Finance
069410,00415707,엔텔스,58221,IT/Electronics
056190,00358271,에스에프에이,292,Machinery/Transportation
053800,00298270,안랩,58221,IT/Electronics
001630,00149354,종근당홀딩스,212,Biotech/Healthcare
018670,00144164,SK가스,46713,Consumer
009240,00161693,한샘,46431,Consumer
003550,00120021,LG,64992,Finance
033640,00227333,네패스,261,IT/Electronics
091810,00671376,트리니티항공,511,Machinery/Transportation
105560,00688996,KB금융,64992,Finance
221840,00688358,하이즈항공,313,Machinery/Transportation
067900,00190756,와이엔텍,38220,Energy
053610,00325112,프로텍,29271,Machinery/Transportation
000120,00113410,CJ대한통운,493,Machinery/Transportation
063080,00535746,컴투스홀딩스,582,IT/Electronics
033290,00155948,로젠,474,Consumer
078340,00476498,컴투스,5821,IT/Electronics
069960,00428251,현대백화점,47111,Consumer
014820,00132637,동원시스템즈,222,Chemicals/Materials
123420,00815767,위메이드플레이,5821,IT/Electronics
013570,00117179,디와이,64992,Finance
210540,01059605,디와이파워,29241,Machinery/Transportation
078000,00361488,텔코웨어,631,IT/Electronics
069260,00426086,티케이지휴켐스,2049,Chemicals/Materials
069080,00405320,웹젠,5821,IT/Electronics
226320,00911955,잇츠한불,20423,Chemicals/Materials
083930,00442145,아바코,29272,Machinery/Transportation
010130,00102858,고려아연,24213,Chemicals/Materials
272550,01060814,삼양패키징,22232,Chemicals/Materials
149950,00442048,아바텍,26211,IT/Electronics
027040,00130587,서울전자통신,281,Machinery/Transportation
004060,00133511,SG세계물산,46800,Consumer
089600,00486097,KT나스미디어,71310,Services
228850,00899459,레이언스,27111,IT/Electronics
011780,00106368,금호석유화학,201,Chemicals/Materials
039130,00269940,하나투어,75210,Other
100030,00641171,인지소프트,58222,IT/Electronics
214150,01061327,클래시스,271,IT/Electronics
900300,01169434,오가닉티코스메틱,64992,Finance
047560,00273420,이스트소프트,58221,IT/Electronics
005950,00145552,이수화학,20111,Chemicals/Materials
030530,00216647,원익홀딩스,201,Chemicals/Materials
069620,00427483,대웅제약,212,Biotech/Healthcare
092780,00117726,DYP,301,Machinery/Transportation
214430,00612489,아이쓰리시스템,2629,IT/Electronics
264660,00605328,씨앤지하이테크,29271,Machinery/Transportation
236200,01124653,슈프리마,26410,IT/Electronics
047310,00269612,파워로직스,2812,Machinery/Transportation
307950,00362441,현대오토에버,582,IT/Electronics
006650,00260383,대한유화,20111,Chemicals/Materials
004440,00109806,삼일씨엔에스,23325,Chemicals/Materials
008930,00161426,한미사이언스,64992,Finance
128940,00828497,한미약품,21212,Biotech/Healthcare
009420,00162586,한올바이오파마,212,Biotech/Healthcare
089470,00357935,HDC현대EP,204,Chemicals/Materials
019680,00108913,대교,851,Other
166090,00660750,하나머티리얼즈,2612,IT/Electronics
002760,00123107,보락,2049,Chemicals/Materials
230360,01029394,에코마케팅,71310,Services
061970,00412348,LB세미콘,2612,IT/Electronics
065510,00398668,휴비츠,27199,IT/Electronics
052690,00159209,한전기술,72129,Biotech/Healthcare
046120,00297989,오르비텍,7291,Biotech/Healthcare
000300,00126089,DH오토넥스,303,Machinery/Transportation
004710,00157399,한솔테크닉스,26299,IT/Electronics
005070,00129989,코스모신소재,204,Chemicals/Materials
013990,00138446,아가방컴퍼니,46414,Consumer
037950,00242712,엘컴텍,26291,IT/Electronics
011760,00164812,현대코퍼레이션,46800,Consumer
014790,00161116,HL D&I,41221,Construction
149980,00977641,하이로닉,27199,IT/Electronics
242040,01136348,나무기술,582,IT/Electronics
033270,00158963,유나이티드,212,Biotech/Healthcare
005940,00120182,NH투자증권,66121,Finance
096350,00177870,대창솔루션,251,Machinery/Transportation
024110,00149646,기업은행,64121,Finance
000040,00112378,KR모터스,319,Machinery/Transportation
078890,00441304,가온그룹,264,IT/Electronics
067280,00425351,멀티캠퍼스,85650,Other
001500,00137997,현대차증권,66121,Finance
316140,01350869,우리금융지주,64992,Finance
272290,01237540,이녹스첨단소재,2629,IT/Electronics
104830,00623661,원익머트리얼즈,20121,Chemicals/Materials
009320,00111689,아진전자부품,303,Machinery/Transportation
064760,00245472,티씨케이,23999,Chemicals/Materials
022100,00155212,포스코DX,72129,Biotech/Healthcare
009520,00128111,포스코엠텍,24199,Chemicals/Materials
002840,00121932,미원상사,204,Chemicals/Materials
247540,01160363,에코프로비엠,28202,Machinery/Transportation
039840,00115931,디오,27192,IT/Electronics
139670,00535375,키네마스터,58222,IT/Electronics
003850,00123143,보령,212,Biotech/Healthcare
002150,00114552,도화엔지니어링,72121,Biotech/Healthcare
089030,00535676,테크윙,29271,Machinery/Transportation
268280,01234297,미원에스씨,201,Chemicals/Materials
112610,00670340,씨에스윈드,2511,Machinery/Transportation
052860,00365758,아이앤씨,2611,IT/Electronics
134380,00855163,미원화학,20421,Chemicals/Materials
023450,00115065,동남합성,201,Chemicals/Materials
101490,00411048,에스앤에스텍,2629,IT/Electronics
082640,00117267,동양생명,65110,Finance
003540,00110893,대신증권,66121,Finance
032830,00126256,삼성생명,65110,Finance
016360,00104856,삼성증권,66121,Finance
100700,00362201,세운메디칼,213,Biotech/Healthcare
053350,00353610,이니텍,58221,IT/Electronics
265520,01203808,AP시스템,29272,Machinery/Transportation
006800,00111722,미래에셋증권,66121,Finance
192820,01009789,코스맥스,20423,Chemicals/Materials
044820,00219574,코스맥스비티아이,64992,Finance
239610,01011438,에이치엘사이언스,108,Consumer
023160,00153375,태광,2413,Chemicals/Materials
170030,00164502,현대공업,303,Machinery/Transportation
084180,00243979,수성웹툰,29169,Machinery/Transportation
037270,00249247,YG PLUS,631,IT/Electronics
000370,00135917,한화손해보험,65121,Finance
201490,00965813,미투온,5821,IT/Electronics
008600,00104999,윌비스,46413,Consumer
222040,00656289,코스맥스엔비티,108,Consumer
014440,00140779,영보화학,2225,Chemicals/Materials
000390,00129387,SP삼화,20411,Chemicals/Materials
145020,00888347,휴젤,211,Biotech/Healthcare
003690,00113191,코리안리,65200,Finance
011930,00136271,신성이엔지,2612,IT/Electronics
040420,00287788,정상제이엘에스,8550,Other
000890,00123541,보해양조,11122,Consumer
122310,00799539,제노레이,27111,IT/Electronics
200780,00256043,비씨월드제약,212,Biotech/Healthcare
104620,00632845,노랑풍선,75210,Other
082210,00327396,옵트론텍,273,IT/Electronics
050760,00340272,에스폴리텍,222,Chemicals/Materials
203450,00408266,유니온바이오메트릭스,26429,IT/Electronics
003520,00141149,영진약품,212,Biotech/Healthcare
046440,00405278,KG파이낸셜,582,IT/Electronics
014620,00132318,성광벤드,24133,Chemicals/Materials
005320,00168331,온타이드,46413,Consumer
039490,00296290,키움증권,66121,Finance
143160,00883980,아이디스,26429,IT/Electronics
054800,00359580,아이디스홀딩스,71600,Services
093190,00478900,빅솔론,263,IT/Electronics
012700,00117708,리드코프,46712,Consumer
025320,00203023,시노펙스,2629,IT/Electronics
131370,00838962,알서포트,58222,IT/Electronics
238090,00942131,앤디포스,222,Chemicals/Materials
051360,00390365,토비스,265,IT/Electronics
052330,00305297,코텍,26519,IT/Electronics
013030,00165060,하이록코리아,241,Chemicals/Materials
032080,00201131,아즈텍WB,13402,Chemicals/Materials
099750,00490090,이지케어텍,58222,IT/Electronics
100790,00340096,미래에셋벤처투자,649,Finance
043150,00264255,바텍,271,IT/Electronics
003470,00117601,유안타증권,66121,Finance
299900,01276327,위지윅스튜디오,59120,Services
102120,00591441,어보브반도체,2612,IT/Electronics
105740,00533003,디케이락,29133,Machinery/Transportation
215380,01065013,우정바이오,701,Services
036530,00225159,SNT홀딩스,64992,Finance
003570,00134477,SNT다이내믹스,30331,Machinery/Transportation
064960,00398792,SNT모티브,303,Machinery/Transportation
100840,00648721,SNT에너지,29176,Machinery/Transportation
006040,00118026,동원산업,64992,Finance
092730,00551920,네오팜,20423,Chemicals/Materials
072020,00415327,중앙백신,211,Biotech/Healthcare
054450,00423177,텔레칩스,2611,IT/Electronics
036030,00260958,케이티알파,461,Consumer
078160,00453929,메디포스트,211,Biotech/Healthcare
090460,00447609,비에이치,2622,IT/Electronics
001430,00106669,세아베스틸지주,2411,Chemicals/Materials
010660,00166500,화천기계,29223,Machinery/Transportation
139130,00878915,iM금융지주,64992,Finance
038680,00264635,에스넷,62021,IT/Electronics
044340,00293886,위닉스,28519,Machinery/Transportation
151860,00366137,KG에코솔루션,302,Machinery/Transportation
900140,00838500,엘브이엠씨,451,Machinery/Transportation
215480,01064069,토박스코리아,474,Consumer
239340,01128622,이스트에이드,631,IT/Electronics
000100,00145109,유한양행,212,Biotech/Healthcare
002320,00163512,한진,49309,Machinery/Transportation
121850,00807397,코이즈,222,Chemicals/Materials
043200,00266934,파루,281,Machinery/Transportation
097780,00562360,에코볼트,303,Machinery/Transportation
082740,00361008,한화엔진,29111,Machinery/Transportation
049630,00147082,재영솔루텍,27309,IT/Electronics
005090,00125150,SGC에너지,351,Energy
263860,00962223,지니언스,58221,IT/Electronics
043220,00317487,티에스넥스젠,292,Machinery/Transportation
067990,00449379,도이치모터스,451,Machinery/Transportation
081000,00508274,일진다이아,204,Chemicals/Materials
052400,00349732,코나아이,58221,IT/Electronics
097520,00564562,엠씨넥스,26519,IT/Electronics
241840,00975290,에이스토리,591,Services
228670,00828761,레이,27111,IT/Electronics
078590,00230814,휴림에이텍,303,Machinery/Transportation
313760,00863038,캐리,2811,Machinery/Transportation
251970,00761059,펌텍코리아,22232,Chemicals/Materials
186230,00602279,그린플러스,24222,Chemicals/Materials
270870,01214248,뉴트리,108,Consumer
015020,00134565,이스타코,68121,Construction
036540,00301246,SFA반도체,2611,IT/Electronics
138070,00577380,신진에스엠,259,Machinery/Transportation
089850,00592653,유비벨록스,58221,IT/Electronics
222980,00579139,한국맥널티,108,Consumer
030520,00204262,한글과컴퓨터,582,IT/Electronics
064260,00389970,다날,582,IT/Electronics
251370,00602172,와이엠티,201,Chemicals/Materials
049950,00447760,미래컴퍼니,29271,Machinery/Transportation
038540,00306162,상상인,620,IT/Electronics
092460,00528515,한라IMS,31114,Machinery/Transportation
086390,00540447,유니테스트,29271,Machinery/Transportation
031440,00274933,신세계푸드,561,Other
142210,00879020,유니트론텍,46522,Consumer
194480,01008762,데브시스터즈,58212,IT/Electronics
005610,00125530,삼립,108,Consumer
094170,00695969,동운아나텍,2611,IT/Electronics
192410,00623184,오늘이엔엠,2642,IT/Electronics
259630,00833064,엠플러스,292,Machinery/Transportation
282880,01211232,코윈테크,292,Machinery/Transportation
054050,00176835,NH농우바이오,01123,Other
099440,00580056,스맥,29221,Machinery/Transportation
099220,00574611,SDN,4659,Consumer
122640,00530556,예스티,29271,Machinery/Transportation
030720,00118044,동원수산,03111,Other
054180,00356839,메디콕스,31114,Machinery/Transportation
089890,00365934,코세스,29271,Machinery/Transportation
084650,00545114,랩지노믹스,70113,Services
173130,00867849,오파스넷,62021,IT/Electronics
900290,01170962,GRT,64992,Finance
336370,01412822,솔루스첨단소재,26299,IT/Electronics
300120,01251489,라온피플,582,IT/Electronics
277410,01243161,인산가,108,Consumer
053280,00362858,예스24,4791,Consumer
069640,00357360,한세엠케이,4741,Consumer
105630,00728638,한세실업,14199,Consumer
016450,00161976,한세예스24홀딩스,1419,Consumer
004540,00113492,깨끗한나라,171,Chemicals/Materials
042520,00349060,한스바이오메드,213,Biotech/Healthcare
318010,00986898,팜스빌,108,Consumer
037710,00220561,광주신세계,47111,Consumer
005880,00113535,대한해운,50112,Machinery/Transportation
031430,00234412,신세계인터내셔날,4741,Consumer
081150,00497631,티플랙스,242,Chemicals/Materials
084850,00579980,아이티엠반도체,2629,IT/Electronics
047920,00336817,HLB제약,70111,Services
013890,00150633,지누스,320,IT/Electronics
032850,00231707,비트컴퓨터,58221,IT/Electronics
205470,01042979,휴마시스,213,Biotech/Healthcare
097800,00536286,윈팩,2612,IT/Electronics
