date,close,updown,comp,change,open,high,low,volume,amount,marcap,index_type
2019-01-07,2037.1,1,26.85,0.0134,2034.24,2048.06,2030.9,440191435,5301385184683,1342381870636242.0,KOSPI
2019-01-08,2025.27,2,-11.83,-0.0058,2038.68,2042.7,2023.59,397831202,4826641977635,1333996220969886.0,KOSPI
2019-01-09,2064.71,1,39.44,0.0195,2034.19,2068.23,2034.19,386247767,5532688944833,1360852002032056.0,KOSPI
2019-01-10,2063.28,2,-1.43,-0.0007,2065.73,2072.81,2057.16,382877104,5434257496719,1359857820274138.0,KOSPI
2019-01-11,2075.57,1,12.29,0.006,2070.36,2076.99,2063.99,380061043,4592460536252,1368311381419713.0,KOSPI
2019-01-14,2064.52,2,-11.05,-0.0053,2070.49,2073.94,2059.46,432890569,4941021266486,1360565230505129.0,KOSPI
2019-01-15,2097.18,1,32.66,0.0158,2069.14,2098.01,2067.58,439488652,5236963734010,1382450777672374.0,KOSPI
2019-01-16,2106.1,1,8.92,0.0043,2098.65,2106.35,2091.92,500078131,5352467226713,1388695520077813.0,KOSPI
2019-01-17,2107.06,1,0.96,0.0005,2110.14,2117.43,2101.7,475884760,5857766808901,1389975886942780.0,KOSPI
2019-01-18,2124.28,1,17.22,0.0081999999999999,2116.43,2124.5,2113.44,456737721,5356125356124,1401233933236199.0,KOSPI
2019-01-21,2124.61,1,0.33,0.0002,2133.87,2134.17,2114.45,398034986,5320635085503,1401780023623738.0,KOSPI
2019-01-22,2117.77,2,-6.84,-0.0032,2126.03,2129.37,2108.91,419441359,4897406432421,1397318461758313.0,KOSPI
2019-01-23,2127.78,1,10.01,0.0046999999999999,2108.72,2131.05,2106.74,408600062,5170561792658,1403936953766212.0,KOSPI
2019-01-24,2145.03,1,17.25,0.0081,2127.88,2145.08,2125.48,413652271,6035836296861,1415738357524606.0,KOSPI
2019-01-25,2177.73,1,32.7,0.0152,2147.92,2178.01,2146.64,410001961,7065652406289,1437842917491483.0,KOSPI
2019-01-28,2177.3,2,-0.43,-0.0002,2184.41,2188.15,2169.17,371618518,6060559291829,1437491622562736.0,KOSPI
2019-01-29,2183.36,1,6.06,0.0028,2172.83,2183.36,2162.53,552586618,6504582924510,1441345148964529.0,KOSPI
2019-01-30,2206.2,1,22.84,0.0105,2183.49,2206.2,2177.88,480390487,6875692507420,1456059990001788.0,KOSPI
2019-01-31,2204.85,2,-1.35,-0.0006,2222.88,2222.88,2201.22,545247910,7762306856437,1455505296056499.0,KOSPI
2019-02-01,2203.46,2,-1.39,-0.0006,2211.93,2218.78,2201.41,479378556,6873999624152,1454699810793706.0,KOSPI
2019-02-07,2203.42,2,-0.04,0.0,2215.77,2215.79,2196.77,427842793,6339360759652,1454323219046604.0,KOSPI
2019-02-08,2177.05,2,-26.37,-0.012,2192.01,2192.48,2171.96,391029097,5728529606483,1436388008944814.0,KOSPI
2019-02-11,2180.73,1,3.68,0.0017,2180.54,2181.58,2167.36,406059815,5327610302057,1438816002281247.0,KOSPI
2019-02-12,2190.47,1,9.74,0.0045,2182.71,2195.05,2178.59,429940461,5929463237358,1446167642881578.0,KOSPI
2019-02-13,2201.48,1,11.01,0.005,2200.0,2203.71,2194.75,421989698,5585494555665,1453501270517371.0,KOSPI
2019-02-14,2225.85,1,24.37,0.0111,2195.92,2225.85,2186.09,573362007,6426022765504,1469357630739561.0,KOSPI
2019-02-15,2196.09,2,-29.76,-0.0134,2210.94,2210.94,2187.71,400591521,5097630832616,1449296807078938.0,KOSPI
2019-02-18,2210.89,1,14.8,0.0067,2207.36,2217.32,2203.0,314370950,4668186939202,1458936951056956.0,KOSPI
2019-02-19,2205.63,2,-5.26,-0.0024,2208.96,2213.87,2193.34,389093896,4534559338232,1455230606553823.0,KOSPI
2019-02-20,2229.76,1,24.13,0.0109,2216.74,2234.68,2213.83,374342331,5948416944791,1471936799830701.0,KOSPI
2019-02-21,2228.66,2,-1.1,-0.0005,2224.26,2234.31,2213.19,382510920,5480909639767,1471404502700458.0,KOSPI
2019-02-22,2230.5,1,1.84,0.0008,2222.32,2230.5,2217.08,409310838,4645184004326,1472581253373874.0,KOSPI
2019-02-25,2232.56,1,2.06,0.0009,2241.13,2241.76,2224.64,339233786,4689860737887,1473911027224693.0,KOSPI
2019-02-26,2226.6,2,-5.96,-0.0027,2230.37,2235.7,2221.76,331962323,5024237669533,1469933629795979.0,KOSPI
2019-02-27,2234.79,1,8.19,0.0037,2234.46,2237.77,2228.16,301513165,4914612941695,1475176574151260.0,KOSPI
2019-02-28,2195.44,2,-39.35,-0.0176,2231.58,2233.93,2195.44,510022158,8307295774617,1448767023638722.0,KOSPI
2019-03-04,2190.66,2,-4.78,-0.0022,2210.97,2216.02,2188.56,373166073,6405237020767,1445642000022302.0,KOSPI
2019-03-05,2179.23,2,-11.43,-0.0052,2183.35,2185.74,2171.33,313145801,4980940796207,1437785625516105.0,KOSPI
2019-03-06,2175.6,2,-3.63,-0.0017,2177.11,2179.01,2168.46,328943179,4828088089894,1435423976972670.0,KOSPI
2019-03-07,2165.79,2,-9.81,-0.0045,2173.19,2181.19,2155.19,292578442,4858918520562,1429496101537032.0,KOSPI
2019-03-08,2137.44,2,-28.35,-0.0131,2152.8,2159.67,2137.44,313314909,4497331235658,1410568349920833.0,KOSPI
2019-03-11,2138.1,1,0.66,0.0003,2140.29,2145.31,2125.54,272103487,4077476409974,1410561695000350.0,KOSPI
2019-03-12,2157.18,1,19.08,0.0089,2154.61,2161.69,2150.96,355282965,4222805054027,1424679600994820.0,KOSPI
2019-03-13,2148.41,2,-8.77,-0.0040999999999999,2152.66,2154.11,2134.16,285600820,4088450721573,1419083069943012.0,KOSPI
2019-03-14,2155.68,1,7.27,0.0034,2154.35,2158.34,2142.31,341009699,5882524412188,1423787458371483.0,KOSPI
2019-03-15,2176.11,1,20.43,0.0095,2152.96,2181.77,2152.59,387135808,6821323565354,1437037920963024.0,KOSPI
2019-03-18,2179.49,1,3.38,0.0016,2179.69,2183.9,2172.34,257951275,4093226224639,1439426927693641.0,KOSPI
2019-03-19,2177.62,2,-1.87,-0.0009,2183.03,2183.76,2171.05,319702553,3867859299559,1438506503408298.0,KOSPI
2019-03-20,2177.1,2,-0.52,-0.0002,2171.41,2177.19,2152.21,317606686,4175741034585,1438253702940605.0,KOSPI
2019-03-21,2184.88,1,7.78,0.0036,2183.11,2200.32,2173.7,342747152,6229925336110,1445055041479256.0,KOSPI
2019-03-22,2186.95,1,2.07,0.0009,2192.72,2195.42,2178.77,333617567,6881722527179,1446842699649707.0,KOSPI
2019-03-25,2144.86,2,-42.09,-0.0192,2158.8,2159.25,2143.7,307071247,4136472112423,1418438626634458.0,KOSPI
2019-03-26,2148.8,1,3.94,0.0018,2152.98,2153.9,2143.63,301253574,4248900137963,1421123429431263.0,KOSPI
2019-03-27,2145.62,2,-3.18,-0.0015,2147.19,2152.91,2132.42,363169415,4490155588700,1419130931621688.0,KOSPI
2019-03-28,2128.1,2,-17.52,-0.0081999999999999,2131.25,2136.4,2120.93,288036217,4403905967205,1409454255770860.0,KOSPI
2019-03-29,2140.67,1,12.57,0.0059,2138.45,2143.3,2124.07,364618638,5248941127868,1417246090700786.0,KOSPI
2019-04-01,2168.28,1,27.61,0.0129,2153.31,2171.49,2153.31,263312768,4365111400005,1435481137484246.0,KOSPI
2019-04-02,2177.18,1,8.9,0.0040999999999999,2177.2,2181.37,2171.84,257453028,4247457375716,1441635794811690.0,KOSPI
2019-04-03,2203.27,1,26.09,0.012,2176.81,2203.29,2172.83,358644921,5466968835112,1458945250841842.0,KOSPI
2019-04-04,2206.53,1,3.26,0.0015,2201.04,2216.15,2198.66,431013240,4857554113287,1461266733697704.0,KOSPI
2019-04-05,2209.61,1,3.08,0.0014,2206.36,2214.82,2205.26,517153053,4215786976690,1463238721453826.0,KOSPI
2019-04-08,2210.6,1,0.99,0.0004,2217.66,2217.87,2202.49,347910204,4660047203880,1464185952042604.0,KOSPI
2019-04-09,2213.56,1,2.96,0.0013,2212.32,2221.62,2203.54,414809277,4904129876338,1466472414510091.0,KOSPI
2019-04-10,2224.39,1,10.83,0.0049,2206.2,2225.02,2203.82,399694690,5135093645085,1473098586564393.0,KOSPI
2019-04-11,2224.44,1,0.05,0.0,2227.69,2230.41,2217.18,402016393,6022086522472,1473103445557845.0,KOSPI
2019-04-12,2233.45,1,9.01,0.0040999999999999,2221.1,2233.45,2212.88,449634273,6098417861762,1479300934871201.0,KOSPI
2019-04-15,2242.88,1,9.43,0.0042,2242.31,2251.22,2240.29,404160070,6668128939191,1485758717089295.0,KOSPI
2019-04-16,2248.63,1,5.75,0.0026,2241.06,2249.89,2235.72,569056241,7083490839974,1489660939148968.0,KOSPI
2019-04-17,2245.89,2,-2.74,-0.0012,2249.05,2252.05,2242.01,452474829,5586183776794,1488430885486793.0,KOSPI
2019-04-18,2213.77,2,-32.12,-0.0143,2248.8,2250.11,2210.43,573343371,6501103720627,1467185238379835.0,KOSPI
