corp_code,stock_code,corp_name,market,code,name,market_krx,marcap,log_marcap
00206686,042040,케이피엠테크,KOSDAQ,042040,케이피엠테크,KOSDAQ,24907036896,23.938416206756504
00524786,086670,비엠티,KOSDAQ,086670,비엠티,KOSDAQ,152660111300,25.75147979238761
00399694,067160,SOOP,KOSDAQ,067160,SOOP,KOSDAQ,604624744200,27.127873845017316
00161125,018880,한온시스템,KOSPI,018880,한온시스템,KOSPI,5182625887600,29.2763329718634
00819073,216050,인크로스,KOSDAQ,216050,인크로스,KOSDAQ,81297595260,25.121382274464935
00258801,035720,카카오,KOSPI,035720,카카오,KOSPI,19496898828000,30.601276534389388
01152470,263750,펄어비스,KOSDAQ,263750,펄어비스,KOSDAQ,3032498756000,28.740408067541942
00983271,181710,NHN,KOSPI,181710,NHN,KOSPI,1247894595900,27.85247892389551
00404701,123890,한국자산신탁,KOSPI,123890,한국자산신탁,KOSPI,296756770550,26.416178685845672
00645089,104200,NHN벅스,KOSDAQ,104200,NHN벅스,KOSDAQ,53082629000,24.69511557419671
00693651,121800,비덴트,KOSDAQ,121800,비덴트,KOSDAQ,256309348520,26.269650944563455
00545734,092040,아미코젠,KOSDAQ,092040,아미코젠,KOSDAQ,117499908581,25.48970339249628
00939331,161890,한국콜마,KOSPI,161890,한국콜마,KOSPI,2292052976700,28.46046902825738
00527464,072990,에이치시티,KOSDAQ,072990,에이치시티,KOSDAQ,63284669190,24.870908943872113
00372882,058850,KTcs,KOSPI,058850,KTcs,KOSPI,108479659000,25.40982851769698
00117212,000150,두산,KOSPI,000150,두산,KOSPI,26136849690000,30.894367300029447
00309503,047810,한국항공우주,KOSPI,047810,한국항공우주,KOSPI,15703239737700,30.384888159714762
00357740,060250,NHN KCP,KOSDAQ,060250,NHN KCP,KOSDAQ,720481361340,27.30318538298823
00403632,126560,현대퓨처넷,KOSPI,126560,현대퓨처넷,KOSPI,341629129500,26.556991568937175
00537337,092600,앤씨앤,KOSDAQ,092600,앤씨앤,KOSDAQ,32157066230,24.193898052904455
00159616,034020,두산에너빌리티,KOSPI,034020,두산에너빌리티,KOSPI,70974174976800,31.893337194081944
00904672,251270,넷마블,KOSPI,251270,넷마블,KOSPI,3539573467200,28.895027346323264
00937324,161390,한국타이어앤테크놀로지,KOSPI,161390,한국타이어앤테크놀로지,KOSPI,7705029291800,29.67289438635466
00101488,009450,경동나비엔,KOSPI,009450,경동나비엔,KOSPI,1028542595200,27.659163960057885
00158149,002960,한국쉘석유,KOSPI,002960,한국쉘석유,KOSPI,754000000000,27.34865820495437
00220057,032620,GC메디아이,KOSDAQ,032620,GC메디아이,KOSDAQ,194434342775,25.99336037373537
00139889,011790,SKC,KOSPI,011790,SKC,KOSPI,5055417783000,29.251481612463614
00643656,101730,위메이드맥스,KOSDAQ,101730,위메이드맥스,KOSDAQ,393875444200,26.699300564792175
00444329,112040,위메이드,KOSDAQ,112040,위메이드,KOSDAQ,702733598100,27.27824370686623
00628860,095660,네오위즈,KOSDAQ,095660,네오위즈,KOSDAQ,447874701300,26.82777934564415
00513948,142280,녹십자엠에스,KOSDAQ,142280,녹십자엠에스,KOSDAQ,93816410690,25.264605631707088
00161046,002390,한독,KOSPI,002390,한독,KOSPI,133093364110,25.614316704680864
00158307,071840,롯데하이마트,KOSPI,071840,롯데하이마트,KOSPI,169739449280,25.857530446991102
00164636,012630,HDC,KOSPI,012630,HDC,KOSPI,1442762562150,27.99758083758674
00490151,091700,파트론,KOSDAQ,091700,파트론,KOSDAQ,361500000000,26.61352787854523
00360142,122900,아이마켓코리아,KOSPI,122900,아이마켓코리아,KOSPI,247373416000,26.234164837614685
00332927,194370,제이에스코퍼레이션,KOSPI,194370,제이에스코퍼레이션,KOSPI,391726233000,26.693829047548242
00223762,043610,KT지니뮤직,KOSDAQ,043610,KT지니뮤직,KOSDAQ,96762204270,25.29552230322661
01263022,282330,BGF리테일,KOSPI,282330,BGF리테일,KOSPI,2431845574200,28.519671580565763
00228536,041440,현대에버다임,KOSDAQ,041440,현대에버다임,KOSDAQ,154435437280,25.76304196426448
00163691,000700,유수홀딩스,KOSPI,000700,유수홀딩스,KOSPI,153646690800,25.757921588030968
00219097,027410,BGF,KOSPI,027410,BGF,KOSPI,476191035225,26.889084945170982
00188089,020000,한섬,KOSPI,020000,한섬,KOSPI,604697281650,27.12799380884587
00372873,058860,KTis,KOSPI,058860,KTis,KOSPI,96923570000,25.297188566719043
00858364,138930,BNK금융지주,KOSPI,138930,BNK금융지주,KOSPI,5374864211560,29.31275442665758
00165413,011170,롯데케미칼,KOSPI,011170,롯데케미칼,KOSPI,3700073743500,28.93937386605579
00303873,079160,CJ CGV,KOSPI,079160,CJ CGV,KOSPI,811353686500,27.42196990758343
01032486,241560,두산밥캣,KOSPI,241560,두산밥캣,KOSPI,6681167730500,29.530313898154713
00129679,006280,녹십자,KOSPI,006280,녹십자,KOSPI,1620922820600,28.114016745333906
00382199,055550,신한지주,KOSPI,055550,신한지주,KOSPI,45139629731100,31.440781684605962
00190321,030200,케이티,KOSPI,030200,KT,KOSPI,14793672909500,30.32522069917696
00159795,017960,한국카본,KOSPI,017960,한국카본,KOSPI,2025795750000,28.33698370226029
00385363,065450,빅텍,KOSDAQ,065450,빅텍,KOSDAQ,135828172815,25.63465648869151
00555874,089590,제주항공,KOSPI,089590,제주항공,KOSPI,401592105300,26.71870274701318
00292434,048530,인트론바이오,KOSDAQ,048530,인트론바이오,KOSDAQ,97617955280,25.3043272814782
